obs_datetime,filename,species,accuracy
2017-10-08T19:02:21Z,ECC_20171008_190221_943.wav,Nycnoc,0.99
2017-10-08T19:02:26Z,ECC_20171008_190226_943.wav,Nycnoc,0.95
2017-10-08T19:02:28Z,ECC_20171008_190228_392.wav,Nycnoc,0.94
2017-10-08T19:03:24Z,ECC_20171008_190324_085.wav,Nycnoc,0.97
2017-10-08T19:03:28Z,ECC_20171008_190328_701.wav,Nycnoc,0.76
2017-10-08T19:03:35Z,ECC_20171008_190335_123.wav,Nycnoc,0.99
2017-10-08T19:03:46Z,ECC_20171008_190346_051.wav,Nycnoc,0.98
2017-10-08T19:03:54Z,ECC_20171008_190354_553.wav,Nycnoc,0.98
2017-10-08T19:04:00Z,ECC_20171008_190400_357.wav,Nycnoc,0.98
2017-10-08T19:04:02Z,ECC_20171008_190402_231.wav,Nycnoc,0.96
2017-10-08T19:04:03Z,ECC_20171008_190403_741.wav,Nycnoc,0.99
2017-10-08T19:04:08Z,ECC_20171008_190408_741.wav,Nycnoc,0.9
2017-10-08T19:04:10Z,ECC_20171008_190410_164.wav,Nycnoc,0.86
2017-10-08T19:04:15Z,ECC_20171008_190415_335.wav,Nycnoc,0.93
2017-10-08T19:04:20Z,ECC_20171008_190420_335.wav,Nycnoc,0.96
2017-10-08T19:04:27Z,ECC_20171008_190427_117.wav,Nycnoc,0.95
2017-10-08T19:04:37Z,ECC_20171008_190437_988.wav,Nycnoc,0.99
2017-10-08T19:04:45Z,ECC_20171008_190445_668.wav,Nycnoc,0.99
2017-10-08T19:05:00Z,ECC_20171008_190500_387.wav,Nycnoc,0.99
2017-10-08T19:05:05Z,ECC_20171008_190505_387.wav,Nycnoc,0.96
2017-10-08T19:05:07Z,ECC_20171008_190507_715.wav,Nycnoc,0.98
2017-10-08T19:05:11Z,ECC_20171008_190511_127.wav,Nycnoc,0.94
2017-10-08T19:05:37Z,ECC_20171008_190537_925.wav,Nycnoc,0.99
2017-10-08T19:05:47Z,ECC_20171008_190547_905.wav,Nycnoc,0.98
2017-10-08T19:05:52Z,ECC_20171008_190552_504.wav,Nycnoc,0.99
2017-10-08T19:05:57Z,ECC_20171008_190557_504.wav,Nycnoc,0.99
2017-10-08T19:06:37Z,ECC_20171008_190637_072.wav,Nycnoc,0.96
2017-10-08T19:06:40Z,ECC_20171008_190640_861.wav,Nycnoc,0.81
2017-10-08T19:06:41Z,ECC_20171008_190641_983.wav,Nycnoc,0.99
2017-10-08T19:06:46Z,ECC_20171008_190646_983.wav,Nycnoc,0.73
2017-10-08T19:06:51Z,ECC_20171008_190651_612.wav,Nycnoc,0.98
2017-10-08T19:07:00Z,ECC_20171008_190700_641.wav,Nycnoc,0.99
2017-10-08T19:07:05Z,ECC_20171008_190705_641.wav,Nycnoc,0.99
2017-10-08T19:07:13Z,ECC_20171008_190713_604.wav,Nycnoc,0.97
2017-10-08T19:07:20Z,ECC_20171008_190720_241.wav,Nycnoc,0.84
2017-10-08T19:07:23Z,ECC_20171008_190723_283.wav,Nycnoc,0.73
2017-10-08T19:07:25Z,ECC_20171008_190725_065.wav,Nycnoc,0.99
2017-10-08T19:07:30Z,ECC_20171008_190730_065.wav,Nycnoc,0.56
2017-10-08T19:07:31Z,ECC_20171008_190731_569.wav,Nycnoc,0.85
2017-10-08T19:07:37Z,ECC_20171008_190737_089.wav,Nycnoc,0.98
2017-10-08T19:07:42Z,ECC_20171008_190742_089.wav,Nycnoc,0.93
2017-10-08T19:07:45Z,ECC_20171008_190745_840.wav,Nycnoc,0.76
2017-10-08T19:07:47Z,ECC_20171008_190747_356.wav,Nycnoc,0.99
2017-10-08T19:07:53Z,ECC_20171008_190753_245.wav,Nycnoc,0.83
2017-10-08T19:07:58Z,ECC_20171008_190758_100.wav,Nycnoc,0.96
2017-10-08T19:07:59Z,ECC_20171008_190759_585.wav,Nycnoc,0.92
2017-10-08T19:08:34Z,ECC_20171008_190834_541.wav,Nycnoc,0.97
2017-10-08T19:08:39Z,ECC_20171008_190839_345.wav,Nycnoc,0.99
2017-10-08T19:08:44Z,ECC_20171008_190844_145.wav,Nycnoc,0.99
2017-10-08T19:08:49Z,ECC_20171008_190849_145.wav,Nycnoc,0.57
2017-10-08T19:08:51Z,ECC_20171008_190851_880.wav,Nycnoc,0.99
2017-10-08T19:09:04Z,ECC_20171008_190904_744.wav,Nycnoc,0.99
2017-10-08T19:09:09Z,ECC_20171008_190909_744.wav,Nycnoc,0.99
2017-10-08T19:09:12Z,ECC_20171008_190912_987.wav,Nycnoc,0.98
2017-10-08T19:09:18Z,ECC_20171008_190918_625.wav,Nycnoc,0.91
2017-10-08T19:09:23Z,ECC_20171008_190923_677.wav,Nycnoc,0.99
2017-10-08T19:09:28Z,ECC_20171008_190928_677.wav,Nycnoc,0.99
2017-10-08T19:09:33Z,ECC_20171008_190933_677.wav,Nycnoc,0.89
2017-10-08T19:09:36Z,ECC_20171008_190936_325.wav,Nycnoc,0.89
2017-10-08T19:09:40Z,ECC_20171008_190940_017.wav,Nycnoc,0.8
2017-10-08T19:09:42Z,ECC_20171008_190942_040.wav,Nycnoc,0.99
2017-10-08T19:09:52Z,ECC_20171008_190952_892.wav,Nycnoc,0.97
2017-10-08T19:09:56Z,ECC_20171008_190956_947.wav,Nycnoc,0.96
2017-10-08T19:10:00Z,ECC_20171008_191000_135.wav,Nycnoc,0.88
2017-10-08T19:10:02Z,ECC_20171008_191002_963.wav,Nycnoc,0.97
2017-10-08T19:10:08Z,ECC_20171008_191008_477.wav,Nycnoc,0.96
2017-10-08T19:10:11Z,ECC_20171008_191011_480.wav,Nycnoc,0.86
2017-10-08T19:10:12Z,ECC_20171008_191012_721.wav,Nycnoc,0.87
2017-10-08T19:10:16Z,ECC_20171008_191016_621.wav,Nycnoc,0.91
2017-10-08T19:10:18Z,ECC_20171008_191018_149.wav,Nycnoc,0.93
2017-10-08T19:10:20Z,ECC_20171008_191020_241.wav,Nycnoc,0.85
2017-10-08T19:10:23Z,ECC_20171008_191023_525.wav,Nycnoc,0.99
2017-10-08T19:10:33Z,ECC_20171008_191033_701.wav,Nycnoc,0.96
2017-10-08T19:10:40Z,ECC_20171008_191040_223.wav,Nycnoc,0.99
2017-10-08T19:10:45Z,ECC_20171008_191045_223.wav,Nycnoc,0.99
2017-10-08T19:10:50Z,ECC_20171008_191050_223.wav,Nycnoc,0.68
2017-10-08T19:10:53Z,ECC_20171008_191053_579.wav,Nycnoc,0.88
2017-10-08T19:11:06Z,ECC_20171008_191106_512.wav,Nycnoc,0.98
2017-10-08T19:11:11Z,ECC_20171008_191111_512.wav,Nycnoc,0.99
2017-10-08T19:11:16Z,ECC_20171008_191116_512.wav,Nycnoc,0.95
2017-10-08T19:11:34Z,ECC_20171008_191134_605.wav,Nycnoc,0.99
2017-10-08T19:11:39Z,ECC_20171008_191139_605.wav,Nycnoc,0.75
2017-10-08T19:11:41Z,ECC_20171008_191141_363.wav,Nycnoc,0.68
2017-10-08T19:11:47Z,ECC_20171008_191147_779.wav,Nycnoc,0.97
2017-10-08T19:11:55Z,ECC_20171008_191155_891.wav,Nycnoc,0.94
2017-10-08T19:11:58Z,ECC_20171008_191158_936.wav,Nycnoc,0.89
2017-10-08T19:12:02Z,ECC_20171008_191202_516.wav,Nycnoc,0.91
2017-10-08T19:12:04Z,ECC_20171008_191204_436.wav,Nycnoc,0.99
2017-10-08T19:12:11Z,ECC_20171008_191211_877.wav,Nycnoc,0.84
2017-10-08T19:12:12Z,ECC_20171008_191212_941.wav,Nycnoc,0.99
2017-10-08T19:12:19Z,ECC_20171008_191219_212.wav,Nycnoc,0.95
2017-10-08T19:12:21Z,ECC_20171008_191221_149.wav,Nycnoc,0.99
2017-10-08T19:12:26Z,ECC_20171008_191226_149.wav,Nycnoc,0.95
2017-10-08T19:12:32Z,ECC_20171008_191232_247.wav,Nycnoc,0.95
2017-10-08T19:12:40Z,ECC_20171008_191240_820.wav,Nycnoc,0.99
2017-10-08T19:12:45Z,ECC_20171008_191245_820.wav,Nycnoc,0.99
2017-10-08T19:12:52Z,ECC_20171008_191252_227.wav,Nycnoc,0.99
2017-10-08T19:13:02Z,ECC_20171008_191302_083.wav,Nycnoc,0.99
2017-10-08T19:13:14Z,ECC_20171008_191314_955.wav,Nycnoc,0.99
2017-10-08T19:13:19Z,ECC_20171008_191319_955.wav,Nycnoc,0.93
2017-10-08T19:13:22Z,ECC_20171008_191322_265.wav,Nycnoc,0.93
2017-10-08T19:13:23Z,ECC_20171008_191323_856.wav,Nycnoc,0.98
2017-10-08T19:13:26Z,ECC_20171008_191326_084.wav,Nycnoc,0.76
2017-10-08T19:13:27Z,ECC_20171008_191327_905.wav,Nycnoc,0.99
2017-10-08T19:13:33Z,ECC_20171008_191333_176.wav,Nycnoc,0.99
2017-10-08T19:13:38Z,ECC_20171008_191338_176.wav,Nycnoc,0.55
2017-10-08T19:13:53Z,ECC_20171008_191353_285.wav,Nycnoc,0.98
2017-10-08T19:13:57Z,ECC_20171008_191357_739.wav,Nycnoc,0.58
2017-10-08T19:13:59Z,ECC_20171008_191359_076.wav,Nycnoc,0.99
