INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_034204.wac,1798.001333,2018-10-10,03:42:04,3,2018-10-09,15:42:04,15,,,,,,,,,,,,,1,,,,,,5fUnlPjr2eK+U2IeQi0ogQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_044204.wac,1798.001333,2018-10-10,04:42:04,4,2018-10-09,16:42:04,16,,,,,,,,,,,,,1,,,,,,bqTAuhIXZKX0njAVlbVSCA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_051204.wac,1798.001333,2018-10-10,05:12:04,5,2018-10-09,17:12:04,17,,,,,,,,,,,,,1,,,,,,IJsCzLl5mUB1YSj2/i4glw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_061204.wac,1678.001333,2018-10-10,06:12:04,6,2018-10-09,18:12:04,18,,,,,,,,,,,,,1,,,,,,ap/Vtr+vco1rxaK1Yq4JSg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_054204.wac,1798.001333,2018-10-10,05:42:04,5,2018-10-09,17:42:04,17,,,,,,,,,,,,,1,,,,,,FNG8eKMYq1sUG5RHr5sa4g==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_171002.wac,1800.001333,2018-10-10,17:10:02,17,2018-10-10,05:10:02,5,,,,,,,,,,,,,1,,,,,,OzpVTc0Wvmn8SvdsUQ9w5Q==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_164000.wac,1800.001333,2018-10-10,16:40:00,16,2018-10-10,04:40:00,4,,,,,,,,,,,,,1,,,,,,38XKdcoirxp+hTkQQF8vAw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_174010.wac,1792.001333,2018-10-10,17:40:10,17,2018-10-10,05:40:10,5,,,,,,,,,,,,,1,,,,,,LSxevfJxYoC/NdMbrbZ9tg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_181004.wac,1798.001333,2018-10-10,18:10:04,18,2018-10-10,06:10:04,6,,,,,,,,,,,,,1,,,,,,uqoIbyB5O1Yt0o6hS5IZqg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_184008.wac,1794.001333,2018-10-10,18:40:08,18,2018-10-10,06:40:08,6,,,,,,,,,,,,,1,,,,,,db8v4UswNSeUgbrNKac8wg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_191010.wac,1792.001333,2018-10-10,19:10:10,19,2018-10-10,07:10:10,7,,,,,,,,,,,,,1,,,,,,vgC2PrQyTfCPZqY3YQfipw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_194004.wac,1798.001333,2018-10-10,19:40:04,19,2018-10-10,07:40:04,7,,,,,,,,,,,,,1,,,,,,RqGobTm6rEYhCkv3xBinoA==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_201004.wac,1798.001333,2018-10-10,20:10:04,20,2018-10-10,08:10:04,8,,,,,,,,,,,,,1,,,,,,/Smwv1FUs/22UZu0dzthEw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_204004.wac,1798.001333,2018-10-10,20:40:04,20,2018-10-10,08:40:04,8,,,,,,,,,,,,,1,,,,,,NDdTXqtFMtABSnHGLRltxg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_211008.wac,1794.001333,2018-10-10,21:10:08,21,2018-10-10,09:10:08,9,,,,,,,,,,,,,1,,,,,,5B0zPqP0GG5KOeDW3Qd81w==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_214004.wac,1798.001333,2018-10-10,21:40:04,21,2018-10-10,09:40:04,9,,,,,,,,,,,,,1,,,,,,rdMK1RwQ2g0m/nZSWnBr7w==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_221009.wac,1793.001333,2018-10-10,22:10:09,22,2018-10-10,10:10:09,10,,,,,,,,,,,,,1,,,,,,M/RGcns17jnqxIxalvVGrQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_224004.wac,1798.001333,2018-10-10,22:40:04,22,2018-10-10,10:40:04,10,,,,,,,,,,,,,1,,,,,,ycjwLzwHOUiivTMbIid2Mg==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_231004.wac,1798.001333,2018-10-10,23:10:04,23,2018-10-10,11:10:04,11,,,,,,,,,,,,,1,,,,,,eP2hvrr0Lbk7Gcor2CVhUQ==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181010_234004.wac,1798.001333,2018-10-10,23:40:04,23,2018-10-10,11:40:04,11,,,,,,,,,,,,,1,,,,,,/F4S8wBlEpKDRRIE2KvIfw==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_001005.wac,1797.001333,2018-10-11,00:10:05,0,2018-10-10,12:10:05,12,,,,,,,,,,,,,1,,,,,,5al5gjNVfRI9Cf3M4AoC1Q==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_004004.wac,1798.001333,2018-10-11,00:40:04,0,2018-10-10,12:40:04,12,,,,,,,,,,,,,1,,,,,,hLrpIoxdlgdx44Dc0Cwdww==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_011008.wac,1794.001333,2018-10-11,01:10:08,1,2018-10-10,13:10:08,13,,,,,,,,,,,,,1,,,,,,DRQFNYucOU9a6PaubJEP9g==
E:\Eccles Bats\Downloaded\2018-10-25 ECC-A,Data,ECC_20181011_014004.wac,1798.001333,2018-10-11,01:40:04,1,2018-10-10,13:40:04,13,,,,,,,,,,,,,1,,,,,,reBr/3FtY/itqg0dCMcb4Q==
