"filename","obs_datetime","species_auto","conf_intvl","sucess","species_man","validator","validator_comments"
"SR2_20171126_203437_000.wav",2017-11-26 20:34:37,"Myonat",10,FALSE,"-","-","-"
"SR2_20180721_003700_000.wav",2018-07-21 00:37:00,"Myonat",10,FALSE,"-","-","-"
"SR2_20151128_185811_761.wav",2015-11-28 18:58:11,"Myonat",10,FALSE,"-","-","-"
"SR2_20160520_001823_988.wav",2016-05-20 00:18:23,"Myonat",10,FALSE,"-","-","-"
"SR2_20160628_212900_792.wav",2016-06-28 21:29:00,"Myonat",10,FALSE,"-","-","-"
"SR2_20160802_230848_905.wav",2016-08-02 23:08:48,"Myonat",10,FALSE,"-","-","-"
"SR2_20160324_022811_320.wav",2016-03-24 02:28:11,"Myonat",10,FALSE,"-","-","-"
"SR2_20151016_232314_111.wav",2015-10-16 23:23:14,"Myonat",10,FALSE,"-","-","-"
"SR2_20180717_233337_000.wav",2018-07-17 23:33:37,"Myonat",10,FALSE,"-","-","-"
"SR2_20180717_012129_000.wav",2018-07-17 01:21:29,"Myonat",10,FALSE,"-","-","-"
"SR2_20151015_215735_311.wav",2015-10-15 21:57:35,"Myonat",10,FALSE,"-","-","-"
"SR2_20180722_000446_000.wav",2018-07-22 00:04:46,"Myonat",10,FALSE,"-","-","-"
"SR2_20160410_202955_304.wav",2016-04-10 20:29:55,"Myonat",10,FALSE,"-","-","-"
"SR2_20160205_231534_892.wav",2016-02-05 23:15:34,"Myonat",10,FALSE,"-","-","-"
"SR2_20160327_200303_801.wav",2016-03-27 20:03:03,"Myonat",10,FALSE,"-","-","-"
"SR2_20160510_235942_585.wav",2016-05-10 23:59:42,"Myonat",10,FALSE,"-","-","-"
"SR2_20151219_180758_752.wav",2015-12-19 18:07:58,"Myonat",10,FALSE,"-","-","-"
"SR2_20180722_223805_000.wav",2018-07-22 22:38:05,"Myonat",10,FALSE,"-","-","-"
"SR2_20180716_223438_000.wav",2018-07-16 22:34:38,"Myonat",10,FALSE,"-","-","-"
"SR2_20161016_203508_000.wav",2016-10-16 20:35:08,"Myonat",10,FALSE,"-","-","-"
"SR2_20160519_215332_368.wav",2016-05-19 21:53:32,"Myonat",10,FALSE,"-","-","-"
"SR2_20170827_002451_000.wav",2017-08-27 00:24:51,"Nyclei",8,FALSE,"-","-","-"
"SR2_20160729_032419_237.wav",2016-07-29 03:24:19,"Nycnoc",5,FALSE,"-","-","-"
"SR2_20180711_213551_000.wav",2018-07-11 21:35:51,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20180726_035747_000.wav",2018-07-26 03:57:47,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20160517_234601_297.wav",2016-05-17 23:46:01,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20180723_212036_000.wav",2018-07-23 21:20:36,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20170830_190842_000.wav",2017-08-30 19:08:42,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20180723_234237_000.wav",2018-07-23 23:42:37,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20161022_202147_000.wav",2016-10-22 20:21:47,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20170903_194912_000.wav",2017-09-03 19:49:12,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20170922_191321_000.wav",2017-09-22 19:13:21,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20170830_191126_000.wav",2017-08-30 19:11:26,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20170906_201052_000.wav",2017-09-06 20:10:52,"Nycnoc",6,FALSE,"-","-","-"
"SR2_20180715_205307_000.wav",2018-07-15 20:53:07,"Nycnoc",6,FALSE,"-","-","-"
